trID;time;oldVer;newVer;#oldT;#newT;#oldA;#newA;tIns;tDel;aIns;aDel;aTypeAlt;keyAlt;aTabIns;aTabDel
1;1014631726;1012181431.sql;1014631726.sql;21;21;74;74;0;0;1;1;0;0;0;0
2;1014707807;1014631726.sql;1014707807.sql;21;21;74;74;0;0;0;0;0;0;0;0
3;1014889243;1014707807.sql;1014889243.sql;21;20;74;77;4;5;5;5;1;0;13;10
4;1014901725;1014889243.sql;1014901725.sql;20;20;77;77;0;0;0;0;0;0;0;0
5;1014975574;1014901725.sql;1014975574.sql;20;21;77;82;1;0;0;0;0;0;5;0
6;1019860813;1014975574.sql;1019860813.sql;21;21;82;82;0;0;0;0;0;0;0;0
7;1020121353;1019860813.sql;1020121353.sql;21;21;82;82;0;0;0;0;0;0;0;0
8;1031164716;1020121353.sql;1031164716.sql;21;21;82;84;0;0;2;0;1;0;0;0
9;1031709232;1031164716.sql;1031709232.sql;21;21;84;86;0;0;2;0;0;0;0;0
10;1031817528;1031709232.sql;1031817528.sql;21;20;86;84;2;3;5;5;18;5;8;10
11;1032765746;1031817528.sql;1032765746.sql;20;20;84;83;0;0;1;2;0;2;0;0
12;1033520952;1032765746.sql;1033520952.sql;20;19;83;82;0;1;2;1;0;0;0;2
13;1034036778;1033520952.sql;1034036778.sql;19;19;82;83;0;0;1;0;0;0;0;0
14;1034619576;1034036778.sql;1034619576.sql;19;19;83;83;0;0;0;0;0;0;0;0
15;1034907910;1034619576.sql;1034907910.sql;19;19;83;84;0;0;2;1;0;0;0;0
16;1035366075;1034907910.sql;1035366075.sql;19;18;84;83;0;1;2;0;2;0;0;3
17;1037042231;1035366075.sql;1037042231.sql;18;19;83;88;1;0;1;0;0;0;4;0
18;1038213294;1037042231.sql;1038213294.sql;19;19;88;89;0;0;1;0;2;0;0;0
19;1045468374;1038213294.sql;1045468374.sql;19;19;89;89;0;0;2;2;0;0;0;0
20;1045475435;1045468374.sql;1045475435.sql;19;19;89;89;0;0;1;1;0;0;0;0
21;1045603387;1045475435.sql;1045603387.sql;19;24;89;111;5;0;40;35;1;6;17;0
22;1045605692;1045603387.sql;1045605692.sql;24;24;111;111;0;0;3;3;0;0;0;0
23;1045618809;1045605692.sql;1045618809.sql;24;24;111;113;1;1;8;6;2;0;2;2
24;1045626347;1045618809.sql;1045626347.sql;24;26;113;122;2;0;3;0;1;0;6;0
25;1045691561;1045626347.sql;1045691561.sql;26;26;122;120;0;0;0;2;0;0;0;0
26;1045699202;1045691561.sql;1045699202.sql;26;27;120;124;1;0;1;0;0;0;3;0
27;1047465289;1045699202.sql;1047465289.sql;27;27;124;124;3;3;9;9;0;0;16;16
28;1047466335;1047465289.sql;1047466335.sql;27;27;124;125;2;2;0;0;0;0;10;9
29;1047886539;1047466335.sql;1047886539.sql;27;28;125;128;1;0;1;0;0;0;2;0
30;1047967554;1047886539.sql;1047967554.sql;28;28;128;127;0;0;0;1;0;3;0;0
31;1048021292;1047967554.sql;1048021292.sql;28;28;127;127;0;0;0;0;0;0;0;0
32;1049270935;1048021292.sql;1049270935.sql;28;27;127;127;0;1;3;0;0;10;0;3
33;1049813903;1049270935.sql;1049813903.sql;27;27;127;127;0;0;8;8;0;0;0;0
34;1054073713;1049813903.sql;1054073713.sql;27;27;127;127;0;0;0;0;0;0;0;0
35;1054456376;1054073713.sql;1054456376.sql;27;27;127;127;0;0;0;0;0;0;0;0
36;1054501384;1054456376.sql;1054501384.sql;27;27;127;127;0;0;0;0;0;0;0;0
37;1054782914;1054501384.sql;1054782914.sql;27;27;127;127;0;0;0;0;0;0;0;0
38;1096853196;1054782914.sql;1096853196.sql;27;28;127;129;1;0;0;0;0;0;2;0
39;1099532981;1096853196.sql;1099532981.sql;28;28;129;129;0;0;0;0;0;0;0;0
40;1113801698;1099532981.sql;1113801698.sql;28;28;129;129;0;0;0;0;0;0;0;0
41;1203569193;1113801698.sql;1203569193.sql;28;28;129;129;0;0;0;0;0;0;0;0
42;1203613747;1203569193.sql;1203613747.sql;28;28;129;129;0;0;0;0;0;0;0;0
43;1203732725;1203613747.sql;1203732725.sql;28;28;129;129;0;0;0;0;0;0;0;0
44;1203733325;1203732725.sql;1203733325.sql;28;28;129;129;0;0;0;0;0;0;0;0
45;1217564276;1203733325.sql;1217564276.sql;28;28;129;129;0;0;0;0;2;0;0;0
46;1347272320;1217564276.sql;1347272320.sql;28;28;129;129;0;0;0;0;0;0;0;0
